sneaker_name,brand,sneaker_image,retail_price,url
Jordan 4 Retro Quai 54 (1 of 54),Jordan,https://images.stockx.com/images/Air-Jordan-4-Retro-Quai-54.jpg?fit=fill&bg=FFFFFF&w=576&h=384&auto=compress&dpr=2&trim=color&updated_at=1607044564&fm=avif&q=60,$160.00,https://stockx.com/jordan-4-retro-quai-54
Jordan 4 Retro White Oreo (2021),Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-White-Oreo-2021/Images/Air-Jordan-4-Retro-White-Oreo-2021/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635274567&h=384&fm=avif&q=60,$190.00,https://stockx.com/air-jordan-4-retro-white-oreo-2021
Jordan 4 Retro University Blue,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-University-Blue/Images/Air-Jordan-4-Retro-University-Blue/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635344971&h=384&fm=avif&q=60,$200.00,https://stockx.com/air-jordan-4-retro-university-blue
Jordan 4 Retro Frozen Moments (Womens),Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-Frozen-Moments-Womens/Images/Air-Jordan-4-Retro-Frozen-Moments-Womens/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1692624367&h=384&fm=avif&q=60,$210.00,https://stockx.com/air-jordan-4-retro-frozen-moments-womens
Jordan 4 Retro Infrared,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-Infrared/Images/Air-Jordan-4-Retro-Infrared/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1645636382&h=384&fm=avif&q=60,$200.00,https://stockx.com/air-jordan-4-retro-infrared
Jordan 4 Retro SE Black Canvas,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-SE-Black-Canvas/Images/Air-Jordan-4-Retro-SE-Black-Canvas/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1664432604&h=384&fm=avif&q=60,$210.00,https://stockx.com/air-jordan-4-retro-se-black-canvas
Jordan 4 Retro Canyon Purple (Womens),Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-Canyon-Purple-W/Images/Air-Jordan-4-Retro-Canyon-Purple-W/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1660288617&h=384&fm=avif&q=60,$200.00,https://stockx.com/air-jordan-4-retro-canyon-purple-w
Jordan 4 Retro Lightning (2021),Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-Lightning-2021/Images/Air-Jordan-4-Retro-Lightning-2021/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1638476062&h=384&fm=avif&q=60,$220.00,https://stockx.com/air-jordan-4-retro-lightning-2021
Jordan 4 Retro SP A Ma Maniére Violet Ore,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-A-Ma-Maniere-Violet-Ore/Images/Air-Jordan-4-Retro-A-Ma-Maniere-Violet-Ore/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1673373489&h=384&fm=avif&q=60,$225.00,https://stockx.com/air-jordan-4-retro-a-ma-maniere-violet-ore
Jordan 4 Retro SE Craft Photon Dust,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-SE-Craft-Photon-Dust/Images/Air-Jordan-4-Retro-SE-Craft-Photon-Dust/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1675765297&h=384&fm=avif&q=60,$210.00,https://stockx.com/air-jordan-4-retro-se-craft-photon-dust
Jordan 4 Retro SE Craft Medium Olive,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-SE-Craft-Medium-Olive/Images/Air-Jordan-4-Retro-SE-Craft-Medium-Olive/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1700036889&h=384&fm=avif&q=60,$210.00,https://stockx.com/air-jordan-4-retro-se-craft-medium-olive
Jordan 4 Retro SB Pine Green,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-SB-Pine-Green/Images/Air-Jordan-4-Retro-SB-Pine-Green/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1678350115&h=384&fm=avif&q=60,$225.00,https://stockx.com/air-jordan-4-retro-sb-pine-green
